,date,datetime,temp,feelslike,humidity,dew,precip,precipprob,snow,snowdepth,preciptype,windgust,windspeed,winddir,pressure,visibility,cloudcover,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,moonphase
124,2005-05-05,20:00:00,62.8,62.8,37.8,36.6,0.0,0.0,0.0,0.0,,,5.1,221.0,1015.8,8.1,90.0,,,,,Partially cloudy,partly-cloudy-night,0.91
125,2005-05-06,20:00:00,60.2,60.2,50.2,41.5,0.0,0.0,0.0,0.0,,,9.1,248.0,1006.1,8.1,90.0,,,,,Partially cloudy,partly-cloudy-day,0.94
126,2005-05-07,20:00:00,53.0,53.0,42.6,30.8,0.009,100.0,0.0,0.0,['rain'],,10.0,300.0,1008.1,9.9,90.0,,,,,"Rain, Partially cloudy",rain,0.98
127,2005-05-08,20:00:00,56.8,56.8,41.2,33.5,0.0,0.0,0.0,0.0,,,7.7,36.0,1012.9,8.1,66.3,,,,,Partially cloudy,partly-cloudy-day,0.0
128,2005-05-09,20:00:00,67.6,67.6,29.2,34.3,0.0,0.0,0.0,0.0,,,11.4,154.0,1006.6,45.6,50.0,,,,,Partially cloudy,partly-cloudy-day,0.04
129,2005-05-10,20:00:00,61.7,61.7,76.9,54.3,0.0,0.0,0.0,0.0,,41.4,15.2,360.0,1005.8,18.8,90.0,,,,,Partially cloudy,partly-cloudy-day,0.08
130,2005-05-11,20:00:00,39.1,30.2,97.2,38.4,0.003,100.0,0.0,0.0,['rain'],34.4,16.8,24.0,1013.7,7.0,100.0,,,,,"Rain, Overcast",rain,0.11
131,2005-05-12,20:00:00,50.6,50.6,69.2,40.9,0.0,0.0,0.0,0.0,,,5.9,14.0,1014.5,45.6,90.0,,,,,Partially cloudy,partly-cloudy-day,0.14
132,2005-05-13,20:00:00,54.5,54.5,38.1,29.4,0.0,0.0,0.0,0.0,,,5.4,42.0,1020.6,18.8,50.0,,,,,Partially cloudy,partly-cloudy-day,0.17
133,2005-05-14,20:00:00,57.8,57.8,51.0,39.8,0.0,0.0,0.0,0.0,,,5.0,160.0,1020.3,9.9,90.0,,,,,Partially cloudy,partly-cloudy-day,0.21
134,2005-05-15,20:00:00,61.0,61.0,57.6,45.9,0.0,0.0,0.0,0.0,,,7.3,158.0,1012.9,8.1,73.7,,,,,Partially cloudy,partly-cloudy-day,0.24
135,2005-05-16,20:00:00,68.9,68.9,31.9,37.7,0.0,0.0,0.0,0.0,,,8.2,128.0,1003.4,8.1,90.0,,,,,Partially cloudy,partly-cloudy-day,0.25
136,2005-05-17,20:00:00,65.4,65.4,21.1,24.6,0.0,0.0,0.0,0.0,,,12.0,310.0,1002.9,45.6,95.9,,,,,Overcast,cloudy,0.3
